id,title,overview,soup,genres,cast,director,vote_average,vote_count,release_date,year,poster_url,category
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,"In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka and Rei find refuge in one of the rare pockets of humanity that still exist on the ruined planet Earth. There, each lives a life far different from their days as an Evangelion pilot. However, the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion.",Animation Action Science Fiction Drama Megumi Ogata Yuko Miyamura Maaya Sakamoto Kazuya Tsurumaki technology dystopia post-apocalyptic future surreal mecha giant robot battle anime philosophical the end father son conflict complex beyond reality based on tv series depressed bold multiverse,Animation Action Science Fiction Drama,Megumi Ogata Yuko Miyamura Maaya Sakamoto,Kazuya Tsurumaki,8.203,948,2021-03-08,2021,https://image.tmdb.org/t/p/w500/md5wZRRj8biHrGtyitgBZo7674t.jpg,top_rated
50014,The Help,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.",Drama Emma Stone Viola Davis Bryce Dallas Howard Tate Taylor based on novel or book mississippi river exploitation racial segregation racism writer maid moral courage ressentiment southern belle racial issues 1960s newspaper columnist desperate cautionary dramatic,Drama,Emma Stone Viola Davis Bryce Dallas Howard,Tate Taylor,8.202,9056,2011-08-09,2011,https://image.tmdb.org/t/p/w500/3kmfoWWEc9Vtyuaf9v5VipRgdjx.jpg,top_rated
618344,Justice League Dark: Apokolips War,"Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants.",Animation Action Adventure Fantasy Matt Ryan Jerry O'Connell Taissa Farmiga Matt Peters superhero based on comic hopeless depressing bitter disrespectful dc animated movie universe (dcamu),Animation Action Adventure Fantasy,Matt Ryan Jerry O'Connell Taissa Farmiga,Matt Peters,8.198,1573,2020-05-05,2020,https://image.tmdb.org/t/p/w500/c01Y4suApJ1Wic2xLmaq1QYcfoZ.jpg,top_rated
354912,Coco,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",Family Animation Music Adventure Anthony Gonzalez Gael García Bernal Benjamin Bratt Lee Unkrich skeleton mexico guitar afterlife musician holiday villain singer murderer life after death kids day of the dead music boy hilarious hopeful,Family Animation Music Adventure,Anthony Gonzalez Gael García Bernal Benjamin Bratt,Lee Unkrich,8.198,20994,2017-10-27,2017,https://image.tmdb.org/t/p/w500/6Ryitt95xrO8KXuqRGm1fUuNwqF.jpg,top_rated
11324,Shutter Island,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",Drama Thriller Mystery Leonardo DiCaprio Mark Ruffalo Ben Kingsley Martin Scorsese island based on novel or book concentration camp world war ii hurricane investigation psychiatric hospital mental institution escaped patient psychologist psychological thriller doctor missing person ex military neo-noir criminally insane 1950s haunting past visions mystery depressing dachau suspense mystery,Drama Thriller Mystery,Leonardo DiCaprio Mark Ruffalo Ben Kingsley,Martin Scorsese,8.198,25867,2010-02-14,2010,https://image.tmdb.org/t/p/w500/nrmXQ0zcZUL8jFLrakWc90IR8z9.jpg,top_rated
1186532,The Forge,"19 year old Isaiah Wright lives for basketball and video games. A year out of high school, he has no job, no plans, and no idea how to be a man. At odds with his single mother Cynthia, Isaiah is given an ultimatum – to step up or move out. Feeling the pull from his friends and the push from his mom, Isaiah is hired by Moore Fitness, unaware of how the owner will personally impact his life. With the prayers of his mother and unexpected guidance from his new mentor, Isaiah is forced to deal with his past, sacrifice his selfishness and discover how God might have a greater purpose for his life.",Drama Family Aspen Kennedy Wilson Priscilla C. Shirer Cameron Arnett Alex Kendrick faith self-discovery single mother spin off belief in god troubled past christian film christian faith independent film biblical biblical scholar,Drama Family,Aspen Kennedy Wilson Priscilla C. Shirer Cameron Arnett,Alex Kendrick,8.181,339,2024-08-22,2024,https://image.tmdb.org/t/p/w500/oranxontIQRmhuyQlkoAwxpeBYz.jpg,top_rated
68718,Django Unchained,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",Drama Western Jamie Foxx Christoph Waltz Leonardo DiCaprio Quentin Tarantino rescue friendship bounty hunter ku klux klan texas slavery plantation revenge racism slave trade black slave 19th century white supremacy anxious deep south old west mississippi,Drama Western,Jamie Foxx Christoph Waltz Leonardo DiCaprio,Quentin Tarantino,8.192,28063,2012-12-25,2012,https://image.tmdb.org/t/p/w500/mhf63wOnaLCnzxeHgngTH98WaVh.jpg,top_rated
284,The Apartment,"Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.",Comedy Drama Romance Jack Lemmon Shirley MacLaine Fred MacMurray Billy Wilder new year's eve new york city lovesickness clerk winter age difference suicide attempt office flat spaghetti tennis racket romcom black and white love affair extramarital affair quitting a job christmas apartment cheerful,Comedy Drama Romance,Jack Lemmon Shirley MacLaine Fred MacMurray,Billy Wilder,8.2,2660,1960-06-21,1960,https://image.tmdb.org/t/p/w500/hhSRt1KKfRT0yEhEtRW3qp31JFU.jpg,top_rated
441130,Wolfwalkers,"In a time of superstition and magic, when wolves are seen as demonic and nature an evil to be tamed, a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl, their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy.",Animation Family Adventure Fantasy Honor Kneafsey Eva Whittaker Sean Bean Tomm Moore friendship wolf magic fairy tale shapeshifting wolf's lair feral child forest woods female protagonist ireland family folklore werewolf child curious calm healer reflective wolves irish folklore hand drawn animation father daughter relationship mother daughter relationship serene fantasy 1600s enchanted forest admiring adoring comforting compassionate enchant excited gentle,Animation Family Adventure Fantasy,Honor Kneafsey Eva Whittaker Sean Bean,Tomm Moore,8.19,1385,2020-10-26,2020,https://image.tmdb.org/t/p/w500/vqGiNbdc2sDwsnivMMYzwAoSSu6.jpg,top_rated
324786,Hacksaw Ridge,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",Drama History War Andrew Garfield Sam Worthington Vince Vaughn Mel Gibson japan hero world war ii abusive father pacifism bible gore vegetarian biography based on true story okinawa conscientious objector religion soldier alcoholic war hero pacifist medic us military battle of okinawa congressional medal of honor admiring powerful combat medic weaponless seventh-day adventists,Drama History War,Andrew Garfield Sam Worthington Vince Vaughn,Mel Gibson,8.19,14866,2016-10-07,2016,https://image.tmdb.org/t/p/w500/fnOMP6mjmOmZwmlC1n0K7ivrzt1.jpg,top_rated
